id,Price_Prediction
300000,81.74233
300001,82.73442
300002,85.65266
300003,81.7814
300004,77.79798
300005,81.39254
300006,82.350914
300007,81.06852
300008,83.78667
300009,80.40525
300010,81.452644
300011,79.034546
300012,82.906815
300013,83.70612
300014,81.814964
300015,81.16748
300016,81.02418
300017,81.350044
300018,81.670975
300019,82.17334
300020,85.848434
300021,80.91517
300022,80.275795
300023,85.49091
300024,85.850624
300025,77.524124
300026,80.64238
300027,78.98342
300028,76.434044
300029,84.96876
300030,81.17565
300031,77.73725
300032,83.212006
300033,79.71334
300034,82.070305
300035,80.06751
300036,81.93034
300037,83.95074
300038,81.015686
300039,81.4028
300040,83.04229
300041,75.56122
300042,84.37231
300043,82.087814
300044,80.161514
300045,82.55266
300046,84.56646
300047,82.23562
300048,85.73676
300049,80.53515
300050,77.47171
300051,81.401924
300052,81.55816
300053,78.174095
300054,83.96079
300055,78.797264
300056,78.554504
300057,78.10049
300058,85.00782
300059,83.79966
300060,79.838196
300061,83.49728
300062,78.85671
300063,82.685074
300064,79.28323
300065,82.76612
300066,83.99657
300067,79.9179
300068,80.569435
300069,84.34294
300070,82.64637
300071,81.07277
300072,86.72014
300073,81.23731
300074,82.139114
300075,80.87195
300076,78.47025
300077,80.855064
300078,86.73291
300079,82.592766
300080,82.61046
300081,83.45104
300082,80.99642
300083,77.03694
300084,86.28784
300085,83.541504
300086,80.95514
300087,83.930145
300088,82.53386
300089,85.08748
300090,80.04438
300091,82.17088
300092,79.21292
300093,78.914
300094,78.04808
300095,81.969444
300096,85.038994
300097,80.346
300098,84.10582
300099,82.47535
300100,82.221275
300101,82.55814
300102,86.34943
300103,74.63398
300104,84.38468
300105,82.357475
300106,82.12528
300107,82.501335
300108,81.221405
300109,84.59743
300110,84.22985
300111,74.52405
300112,81.10134
300113,76.9242
300114,80.27734
300115,83.960526
300116,82.00308
300117,83.560715
300118,78.82915
300119,79.13437
300120,79.813324
300121,81.70203
300122,81.34254
300123,83.86971
300124,80.680046
300125,81.35285
300126,80.83583
300127,80.89726
300128,78.410126
300129,84.25154
300130,81.41876
300131,79.21594
300132,80.55226
300133,81.3677
300134,78.65329
300135,82.80791
300136,81.39449
300137,81.5338
300138,77.677216
300139,79.86539
300140,86.47067
300141,83.22548
300142,81.93311
300143,83.84766
300144,81.66118
300145,83.719826
300146,81.38844
300147,86.83334
300148,83.28618
300149,81.20766
300150,83.726974
300151,77.46051
300152,82.22158
300153,79.21967
300154,83.360435
300155,79.824715
300156,85.94454
300157,83.532196
300158,85.721176
300159,85.41661
300160,77.75456
300161,81.50661
300162,83.91211
300163,81.73485
300164,80.38187
300165,82.20661
300166,81.57742
300167,83.481186
300168,82.78817
300169,81.605705
300170,78.50686
300171,79.79968
300172,82.02469
300173,81.13253
300174,80.77194
300175,76.92172
300176,85.13454
300177,80.36611
300178,82.108574
300179,81.2651
300180,88.806816
300181,81.39023
